route_id,start_lat,start_lon,end_lat,end_lon,distance_km,travel_time_min,traffic_level,weather,road_type,accidents,fuel_cost,safety_index,scenic_score,user_preference,recommended,start_city,end_city,avg_speed_kmph
1,6.6101,0.4713,5.6698,0.0166,148.73,223.1,2,Sunny,Main,0,366.01,7.91,4,Scenic,1,Ho,Tema,40.0
2,9.4075,-0.8536,5.6698,0.0166,575.36,690.43,1,Sunny,Main,1,1184.02,9.03,10,Fast,0,Tamale,Tema,50.0
3,6.2007,-1.6663,7.3399,-2.3268,182.09,273.14,2,Sunny,Main,0,534.24,7.07,8,Fast,1,Obuasi,Sunyani,40.0
4,7.5855,-1.9395,6.0945,-0.2611,330.52,283.3,1,Sunny,Highway,1,721.39,8.3,9,Scenic,1,Techiman,Koforidua,70.0
5,7.3399,-2.3268,10.0607,-2.5099,405.51,434.48,2,Rainy,Highway,1,1158.68,7.45,3,Scenic,0,Sunyani,Wa,56.0
6,6.2007,-1.6663,5.1053,-1.2466,162.25,173.84,2,Rainy,Highway,2,317.25,7.88,3,Scenic,0,Obuasi,Cape Coast,56.0
7,5.1053,-1.2466,9.4075,-0.8536,579.83,869.75,2,Rainy,Main,0,1503.87,8.99,8,Fast,0,Cape Coast,Tamale,40.0
8,6.6101,0.4713,7.5855,-1.9395,378.6,324.51,1,Sunny,Highway,0,914.83,8.5,9,Safe,1,Ho,Techiman,70.0
9,10.0607,-2.5099,10.7856,-0.8514,265.96,319.15,1,Sunny,Main,1,662.95,8.98,1,Safe,1,Wa,Bolgatanga,50.0
10,4.8945,-1.7554,6.6101,0.4713,396.2,339.6,1,Sunny,Highway,0,1027.74,8.64,6,Fast,1,Takoradi,Ho,70.0
11,6.6101,0.4713,5.6698,0.0166,154.44,165.47,2,Rainy,Highway,0,297.09,8.83,7,Fast,0,Ho,Tema,56.0
12,7.5855,-1.9395,5.6037,-0.187,361.68,310.01,1,Cloudy,Highway,0,760.13,9.13,3,Scenic,0,Techiman,Accra,70.0
13,7.5855,-1.9395,5.6698,0.0166,398.53,427.0,2,Cloudy,Highway,0,863.45,8.29,9,Fast,1,Techiman,Tema,56.0
14,7.3399,-2.3268,5.6037,-0.187,398.47,341.55,1,Sunny,Highway,0,871.17,9.43,4,Fast,1,Sunyani,Accra,70.0
15,5.1053,-1.2466,5.6037,-0.187,165.95,248.92,2,Rainy,Main,0,390.27,8.18,10,Fast,0,Cape Coast,Accra,40.0
16,9.4075,-0.8536,5.1053,-1.2466,599.4,642.21,2,Cloudy,Highway,1,1180.56,8.73,5,Safe,0,Tamale,Cape Coast,56.0
17,7.3399,-2.3268,10.7856,-0.8514,514.81,1765.06,3,Sunny,Local,1,1038.0,5.46,8,Safe,0,Sunyani,Bolgatanga,17.5
18,7.3399,-2.3268,4.8945,-1.7554,365.09,312.93,1,Rainy,Highway,0,624.54,9.03,3,Safe,0,Sunyani,Takoradi,70.0
19,4.8945,-1.7554,10.0607,-2.5099,746.25,1119.38,2,Sunny,Main,0,1765.03,7.18,1,Scenic,0,Takoradi,Wa,40.0
20,6.0945,-0.2611,5.6037,-0.187,73.37,78.61,2,Rainy,Highway,1,172.86,7.96,3,Safe,0,Koforidua,Accra,56.0
21,5.1053,-1.2466,5.6037,-0.187,171.65,367.82,2,Rainy,Local,0,483.36,8.65,3,Fast,0,Cape Coast,Accra,28.0
22,6.6885,-1.6244,4.8945,-1.7554,245.29,262.81,2,Sunny,Highway,0,451.34,7.7,7,Scenic,0,Kumasi,Takoradi,56.0
23,7.3399,-2.3268,6.2007,-1.6663,180.1,270.15,2,Sunny,Main,0,422.03,7.7,4,Fast,1,Sunyani,Obuasi,40.0
24,5.6698,0.0166,7.5855,-1.9395,407.04,436.11,2,Sunny,Highway,0,823.95,8.45,4,Scenic,0,Tema,Techiman,56.0
25,6.0945,-0.2611,6.6101,0.4713,124.62,186.93,2,Rainy,Main,1,282.53,7.19,7,Fast,0,Koforidua,Ho,40.0
26,6.6885,-1.6244,7.3399,-2.3268,136.02,326.45,3,Sunny,Main,1,431.73,5.21,5,Scenic,0,Kumasi,Sunyani,25.0
27,5.6698,0.0166,9.4075,-0.8536,538.89,923.81,1,Sunny,Local,1,938.02,8.23,1,Safe,1,Tema,Tamale,35.0
